,time,distance_left,distance_right,velocity_left,velocity_right,distance_horizontal,velocity_horizontal,distance_bottom,velocity_bottom,radius_horizontal,radius_vertical,diameter_horizontal,diameter_vertical
0,0.0,-0.0,0.0,12.960570348439111,13.449648474795303,0.0,13.205109411617208,0.0,13.449648474795303,24.900000000000002,23.349999999999994,212.70000000000002,223.5
1,0.019472981944143188,0.6000000000000001,0.4,14.672343790685787,15.895039106576268,0.5,15.283691448631028,0.2,15.895039106576268,25.400000000000002,23.549999999999994,212.70000000000002,223.5
2,0.038945963888286375,1.0,1.1,15.895039106576268,18.340429738357233,1.05,17.117734422466754,0.8,17.85135161200104,25.950000000000003,24.149999999999995,212.70000000000002,223.5
3,0.058418945832429556,1.4000000000000001,1.7000000000000002,18.095890675179135,20.296742243782006,1.5500000000000003,19.19631645948057,1.4000000000000001,20.296742243782006,26.450000000000003,24.749999999999993,212.70000000000002,223.5
4,0.07789192777657275,1.6,2.2,20.785820370138197,22.253054749206775,1.9000000000000001,21.51943755967249,1.8,22.742132875562966,26.8,25.149999999999995,212.70000000000002,223.5
5,0.09736490972071593,2.1,3.0,23.47575006509726,24.209367254631545,2.55,23.8425586598644,2.7,24.942984444165837,27.450000000000003,26.049999999999994,212.70000000000002,223.5
6,0.11683789166485911,2.8000000000000003,3.4000000000000004,26.16567976005632,26.899296949590607,3.1000000000000005,26.532488354823464,3.4000000000000004,27.632914139124896,28.0,26.749999999999993,212.70000000000002,223.5
7,0.1363108736090023,3.6,4.0,29.10014851819348,30.078304770905866,3.8,29.589226644549672,4.1000000000000005,30.322843834083958,28.700000000000003,27.449999999999996,212.70000000000002,223.5
8,0.1557838555531455,4.4,4.7,31.790078213152537,33.25731259222112,4.550000000000001,32.523695402686826,4.7,33.50185165539921,29.450000000000003,28.049999999999994,212.70000000000002,223.5
9,0.17525683749728868,5.300000000000001,5.5,35.21362509764589,35.947242287180174,5.4,35.58043369241304,5.5,36.68085947671447,30.3,28.849999999999994,212.70000000000002,223.5
10,0.19472981944143186,5.300000000000001,5.5,38.39263291896114,38.88171104531733,5.4,38.637171982139236,5.5,40.10440636120782,30.3,28.849999999999994,212.70000000000002,223.5
11,0.21420280138557504,6.0,6.5,41.57164074027639,42.060718866632584,6.25,41.81617980345449,6.5,43.283414182523074,31.150000000000002,29.849999999999994,212.70000000000002,223.5
12,0.23367578332971822,6.5,7.5,44.01703137205736,43.52795324570117,7.0,43.772492308879265,7.300000000000001,45.97334387748213,31.900000000000002,30.649999999999995,212.70000000000002,223.5
13,0.25314876527386143,7.4,8.3,45.48426575112594,45.48426575112594,7.8500000000000005,45.48426575112594,8.3,47.6851173197288,32.75,31.649999999999995,212.70000000000002,223.5
14,0.2726217472180046,8.5,9.1,47.929656382906906,46.95150013019452,8.8,47.44057825655071,9.3,49.396890761975484,33.7,32.64999999999999,212.70000000000002,223.5
15,0.2920947291621478,9.600000000000001,9.9,50.61958607786596,48.66327357244119,9.75,49.64142982515358,10.200000000000001,51.59774233057835,34.65,33.55,212.70000000000002,223.5
16,0.311567711106291,10.700000000000001,11.0,53.06497670964693,49.885968888331675,10.850000000000001,51.4754727989893,11.3,53.30951577282502,35.75,34.64999999999999,212.70000000000002,223.5
17,0.33104069305043415,11.9,12.3,54.28767202553741,51.84228139375644,12.100000000000001,53.06497670964693,12.4,54.532211088715506,37.0,35.74999999999999,212.70000000000002,223.5
18,0.35051367499457736,13.0,13.600000000000001,55.2658282782498,53.79859389918121,13.3,54.532211088715506,13.700000000000001,55.999445467784085,38.2,37.05,212.70000000000002,223.5
19,0.3699866569387205,14.4,14.700000000000001,56.73306265731838,55.510367341427894,14.55,56.12171499937313,15.0,57.71121891003076,39.45,38.349999999999994,212.70000000000002,223.5
